household_ID,district,subvillage,village,ward,strategy,campaign_type,dog_total,cp_travel_time_there,cp_duration
HS0501,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,3,60,30
HS0959,Rorya,Kandege,Obwere,Mkoma,2,continuous,1,NA,NA
HS0061,Tarime,Isago,Kangariani,Itiryo,3,continuous,1,NA,NA
HS0502,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,2,20,40
HS0503,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,2,10,10
HS0504,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,5,15,1
HS0505,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,1,5,5
HS0506,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,2,7,10
HS0507,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,1,NA,NA
HS0508,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,1,10,5
HS0509,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,1,20,5
HS0510,Tarime,Nyamwaga Senta,Nyamwaga,Nyamwaga,0,pulse,1,10,30
HS0511,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,5,NA,NA
HS0512,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,3,NA,NA
HS0513,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,3,5,10
HS0514,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,2,10,2
HS0515,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,3,NA,NA
HS0516,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,1,20,10
HS0517,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,2,NA,NA
HS0518,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,1,NA,NA
HS0519,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,3,30,1
HS0520,Tarime,Makerero,Nyamwaga,Nyamwaga,0,pulse,1,30,5
HS0521,Tarime,Mesero,Nyamwaga,Nyamwaga,0,pulse,1,30,30
HS0522,Tarime,Mesero,Nyamwaga,Nyamwaga,0,pulse,2,20,10
HS0523,Tarime,Mesero,Nyamwaga,Nyamwaga,0,pulse,1,NA,NA
HS0524,Tarime,Mesero,Nyamwaga,Nyamwaga,0,pulse,2,NA,NA
HS0525,Tarime,Mesero,Nyamwaga,Nyamwaga,0,pulse,3,20,2
HS0526,Tarime,Mesero,Nyamwaga,Nyamwaga,0,pulse,2,NA,NA
