household_ID,district,subvillage,village,ward,Intervention,campaign_type,dog_total,cp_travel_time_there,cp_duration
HS0004,0,6,4,2,3,continuous,2,15,40
HS0005,0,6,4,2,3,continuous,3,10,15
HS0006,0,6,4,2,3,continuous,2,20,60
HS0008,0,6,4,2,3,continuous,3,30,30
HS0009,0,6,4,2,3,continuous,2,30,60
HS0010,0,6,4,2,3,continuous,1,30,10
HS0011,0,7,4,2,3,continuous,1,10,20
HS0012,0,7,4,2,3,continuous,3,5,10
HS0013,0,7,4,2,3,continuous,2,10,20
HS0014,0,7,4,2,3,continuous,4,30,30
HS0017,0,7,4,2,3,continuous,1,10,10
HS0018,0,7,4,2,3,continuous,1,10,30
HS0019,0,7,4,2,3,continuous,3,10,30
HS0021,0,9,4,2,3,continuous,1,10,120
HS0022,0,9,4,2,3,continuous,2,10,45
HS0023,0,9,4,2,3,continuous,2,5,30
HS0024,0,9,4,2,3,continuous,2,15,30
HS0025,0,9,4,2,3,continuous,1,20,15
HS0026,0,9,4,2,3,continuous,1,15,45
HS0027,0,9,4,2,3,continuous,2,15,30
HS0028,0,9,4,2,3,continuous,2,20,60
HS0029,0,9,4,2,3,continuous,2,25,10
HS0030,0,9,4,2,3,continuous,1,20,60
HS0031,0,11,5,2,3,continuous,1,15,30
HS0032,0,11,5,2,3,continuous,2,5,10
HS0033,0,11,5,2,3,continuous,3,15,20
HS0034,0,11,5,2,3,continuous,3,10,20
HS0035,0,11,5,2,3,continuous,2,15,10
HS0036,0,11,5,2,3,continuous,2,5,15
HS0037,0,11,5,2,3,continuous,1,20,10
HS0038,0,11,5,2,3,continuous,1,15,5
HS0039,0,11,5,2,3,continuous,2,15,20
HS0040,0,11,5,2,3,continuous,2,10,10
HS0041,0,16,5,2,3,continuous,2,10,30
HS0042,0,16,5,2,3,continuous,3,15,15
HS0043,0,16,5,2,3,continuous,4,15,20
HS0044,0,16,5,2,3,continuous,2,5,15
HS0045,0,16,5,2,3,continuous,6,15,5
HS0046,0,16,5,2,3,continuous,3,15,10
HS0047,0,16,5,2,3,continuous,2,10,15
HS0048,0,16,5,2,3,continuous,2,20,10
HS0049,0,16,5,2,3,continuous,3,20,10
HS0050,0,16,5,2,3,continuous,3,10,20
HS0051,0,17,5,2,3,continuous,2,15,5
HS0052,0,17,5,2,3,continuous,3,2,10
HS0053,0,17,5,2,3,continuous,1,10,10
HS0055,0,17,5,2,3,continuous,1,5,15
HS0056,0,17,5,2,3,continuous,2,15,10
HS0057,0,17,5,2,3,continuous,3,30,15
HS0058,0,17,5,2,3,continuous,1,15,10
HS0059,0,17,5,2,3,continuous,1,20,10
HS0060,0,17,5,2,3,continuous,2,30,10
HS0063,0,2,2,2,3,continuous,2,20,60
HS0064,0,2,2,2,3,continuous,4,5,30
HS0065,0,2,2,2,3,continuous,1,15,30
HS0066,0,2,2,2,3,continuous,2,30,15
HS0067,0,2,2,2,3,continuous,2,20,15
HS0069,0,2,2,2,3,continuous,2,30,15
HS0070,0,2,2,2,3,continuous,2,30,30
HS0071,0,22,2,2,3,continuous,1,10,30
HS0073,0,22,2,2,3,continuous,1,30,15
HS0075,0,22,2,2,3,continuous,2,30,40
HS0076,0,22,2,2,3,continuous,1,40,20
HS0077,0,22,2,2,3,continuous,2,30,40
HS0078,0,22,2,2,3,continuous,2,20,15
HS0081,0,23,2,2,3,continuous,1,45,20
HS0082,0,23,2,2,3,continuous,1,30,60
HS0083,0,23,2,2,3,continuous,2,30,20
HS0084,0,23,2,2,3,continuous,1,15,20
HS0085,0,23,2,2,3,continuous,2,30,15
HS0086,0,23,2,2,3,continuous,2,30,30
HS0087,0,23,2,2,3,continuous,2,40,25
HS0088,0,23,2,2,3,continuous,2,30,20
HS0089,0,23,2,2,3,continuous,4,15,45
HS0090,0,23,2,2,3,continuous,1,15,15
HS0091,0,24,9,5,2,continuous,5,15,5
HS0093,0,24,9,5,2,continuous,1,15,20
HS0094,0,24,9,5,2,continuous,2,20,30
HS0095,0,24,9,5,2,continuous,2,30,45
HS0096,0,24,9,5,2,continuous,6,15,20
HS0097,0,24,9,5,2,continuous,2,30,30
HS0099,0,24,9,5,2,continuous,2,40,20
HS0101,0,25,9,5,2,continuous,2,20,15
HS0102,0,25,9,5,2,continuous,2,20,10
HS0103,0,25,9,5,2,continuous,1,30,30
HS0104,0,25,9,5,2,continuous,1,30,20
HS0106,0,25,9,5,2,continuous,1,40,15
HS0107,0,25,9,5,2,continuous,1,30,60
HS0108,0,25,9,5,2,continuous,3,20,40
HS0109,0,25,9,5,2,continuous,1,10,15
HS0110,0,25,9,5,2,continuous,4,30,45
HS0111,0,26,9,5,2,continuous,3,10,15
HS0112,0,26,9,5,2,continuous,1,15,10
HS0113,0,26,9,5,2,continuous,1,20,30
HS0114,0,26,9,5,2,continuous,1,10,30
HS0116,0,26,9,5,2,continuous,1,15,30
HS0117,0,26,9,5,2,continuous,1,30,15
HS0118,0,26,9,5,2,continuous,1,20,15
HS0119,0,26,9,5,2,continuous,6,20,20
HS0120,0,26,9,5,2,continuous,1,10,10
HS0121,0,27,10,5,2,continuous,2,5,20
HS0122,0,27,10,5,2,continuous,2,10,30
HS0124,0,27,10,5,2,continuous,1,10,20
HS0125,0,27,10,5,2,continuous,3,10,20
HS0126,0,27,10,5,2,continuous,2,15,30
HS0127,0,27,10,5,2,continuous,1,20,10
HS0128,0,27,10,5,2,continuous,3,5,20
HS0129,0,27,10,5,2,continuous,1,10,30
HS0130,0,27,10,5,2,continuous,1,30,15
HS0137,0,28,10,5,2,continuous,1,10,10
HS0138,0,28,10,5,2,continuous,3,20,15
HS0139,0,28,10,5,2,continuous,1,30,15
HS0140,0,28,10,5,2,continuous,1,20,40
HS0141,0,29,10,5,2,continuous,1,10,30
HS0142,0,29,10,5,2,continuous,1,15,20
HS0143,0,29,10,5,2,continuous,5,5,30
HS0144,0,29,10,5,2,continuous,1,10,30
HS0145,0,29,10,5,2,continuous,3,20,10
HS0146,0,29,10,5,2,continuous,3,15,30
HS0149,0,29,10,5,2,continuous,2,10,5
HS0150,0,29,10,5,2,continuous,2,5,15
HS0151,0,34,12,5,2,continuous,2,5,20
HS0152,0,34,12,5,2,continuous,3,15,30
HS0153,0,34,12,5,2,continuous,5,20,30
HS0154,0,34,12,5,2,continuous,2,20,30
HS0155,0,34,12,5,2,continuous,1,30,30
HS0156,0,34,12,5,2,continuous,3,40,20
HS0157,0,34,12,5,2,continuous,3,40,30
HS0158,0,34,12,5,2,continuous,4,30,10
HS0159,0,34,12,5,2,continuous,1,20,15
HS0160,0,34,12,5,2,continuous,1,30,10
HS0161,0,35,12,5,2,continuous,2,1,5
HS0162,0,35,12,5,2,continuous,2,30,20
HS0163,0,35,12,5,2,continuous,1,30,30
HS0165,0,35,12,5,2,continuous,2,30,10
HS0166,0,35,12,5,2,continuous,1,20,30
HS0167,0,35,12,5,2,continuous,1,30,10
HS0168,0,35,12,5,2,continuous,2,45,20
HS0169,0,35,12,5,2,continuous,2,30,30
HS0170,0,35,12,5,2,continuous,4,20,10
HS0171,0,36,12,5,2,continuous,3,15,10
HS0172,0,36,12,5,2,continuous,1,10,30
HS0173,0,36,12,5,2,continuous,2,10,20
HS0174,0,36,12,5,2,continuous,2,10,60
HS0175,0,36,12,5,2,continuous,1,10,10
HS0176,0,36,12,5,2,continuous,1,10,30
HS0178,0,36,12,5,2,continuous,2,5,5
HS0179,0,36,12,5,2,continuous,1,10,20
HS0181,0,37,13,6,1,continuous,1,5,10
HS0182,0,37,13,6,1,continuous,2,10,20
HS0183,0,37,13,6,1,continuous,2,15,30
HS0184,0,37,13,6,1,continuous,2,20,20
HS0185,0,37,13,6,1,continuous,2,30,20
HS0186,0,37,13,6,1,continuous,2,30,10
HS0187,0,37,13,6,1,continuous,2,20,10
HS0188,0,37,13,6,1,continuous,2,30,10
HS0189,0,37,13,6,1,continuous,1,30,10
HS0190,0,37,13,6,1,continuous,2,10,10
HS0195,0,38,13,6,1,continuous,2,20,15
HS0196,0,38,13,6,1,continuous,2,20,20
HS0198,0,38,13,6,1,continuous,1,30,30
HS0199,0,38,13,6,1,continuous,1,30,20
HS0200,0,38,13,6,1,continuous,1,10,15
HS0201,0,39,13,6,1,continuous,2,5,10
HS0202,0,39,13,6,1,continuous,1,5,10
HS0203,0,39,13,6,1,continuous,3,10,20
HS0204,0,39,13,6,1,continuous,1,10,120
HS0205,0,39,13,6,1,continuous,2,15,45
HS0206,0,39,13,6,1,continuous,8,30,30
HS0207,0,39,13,6,1,continuous,1,20,30
HS0208,0,39,13,6,1,continuous,1,5,30
HS0209,0,39,13,6,1,continuous,1,10,60
HS0210,0,39,13,6,1,continuous,3,5,30
HS0211,0,40,14,6,1,continuous,3,15,60
HS0212,0,40,14,6,1,continuous,1,20,30
HS0214,0,40,14,6,1,continuous,6,20,60
HS0215,0,40,14,6,1,continuous,4,15,40
HS0218,0,40,14,6,1,continuous,3,30,60
HS0219,0,40,14,6,1,continuous,1,15,30
HS0220,0,40,14,6,1,continuous,2,10,20
