household_ID,district,campaign,Strategy,Ward,Village,Sub-village,dog_total,dog_vacc_status (owner),number_dogs_seen,microchip_scanned_dogs_yes(microchip),dogs_vacc_cert (Cert)
RCT1019,Rorya,Village,1,Tai,Nyahera,Rabour,1,0,1,0,0
RCT1009,Rorya,Village,1,Tai,Nyahera,Nyahera,1,1,1,1,1
RCT1006,Rorya,Village,1,Tai,Nyahera,Nyahera,1,0,1,0,0
HS1906,Rorya,Village,1,Tai,Nyahera,Center,1,1,1,1,1
HS1908,Rorya,Village,1,Tai,Nyahera,Center,1,1,1,1,1
HS1934,Rorya,Village,1,Tai,Nyamagongo,Makao,1,1,1,1,1
HS1935,Rorya,Village,1,Tai,Nyamagongo,Makao,1,0,1,0,0
HS1926,Rorya,Village,1,Tai,Nyamagongo,Oboke,1,1,1,1,1
HS1927,Rorya,Village,1,Tai,Nyamagongo,Oboke,1,0,1,0,0
HS1942,Rorya,Village,1,Tai,Masonga,Masonga,1,1,0,0,1
HS1963,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,1,1,1,1
HS1961,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,1,1,1,1
HS1964,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,1,1,1,1
HS1966,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,1,1,0,1
HS1953,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,1,1,1,1
HS1954,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,1,1,0,1
HS1956,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,0,1,0,0
HS1957,Rorya,Village,1,Tai,Masonga,NyamogoBugoge,1,1,1,1,1
HS1974,Rorya,Village,1,Tai,Shirati_Sota,Magamaga,1,0,1,0,0
HS1973,Rorya,Village,1,Tai,Shirati_Sota,Magamaga,1,1,1,0,1
HS1972,Rorya,Village,1,Tai,Shirati_Sota,Magamaga,1,0,1,0,0
HS1968,Rorya,Village,1,Tai,Shirati_Sota,Magamaga,1,1,1,1,1
HS1992,Rorya,Village,1,Tai,Shirati_Sota,Sota,1,0,1,0,0
HS1993,Rorya,Village,1,Tai,Shirati_Sota,Sota,1,1,1,0,1
HS1995,Rorya,Village,1,Tai,Shirati_Sota,Sota,1,1,1,1,1
HS1977,Rorya,Village,1,Tai,Shirati_Sota,Gingo,1,1,0,0,1
HS1981,Rorya,Village,1,Tai,Shirati_Sota,Gingo,1,0,1,0,0
RCT1033,Rorya,Discretion,3,Bukura,Kirongwe,Lwana-agago,1,1,1,1,1
RCT1045,Rorya,Discretion,3,Bukura,Kirongwe,Nyarero,1,1,1,1,1
RCT1043,Rorya,Discretion,3,Bukura,Kirongwe,Nyarero,1,0,1,0,0
RCT1042,Rorya,Discretion,3,Bukura,Kirongwe,Nyarero,1,0,1,0,0
RCT1037,Rorya,Discretion,3,Bukura,Kirongwe,Nyarero,1,0,1,0,0
RCT1055,Rorya,Discretion,3,Bukura,Kirongwe,Lwala,1,1,1,1,1
RCT1054,Rorya,Discretion,3,Bukura,Kirongwe,Lwala,1,1,1,1,1
RCT1053,Rorya,Discretion,3,Bukura,Kirongwe,Lwala,1,1,1,1,1
RCT1050,Rorya,Discretion,3,Bukura,Kirongwe,Lwala,1,1,1,1,1
RCT1047,Rorya,Discretion,3,Bukura,Kirongwe,Lwala,1,1,1,1,1
RCT0519,Rorya,Discretion,3,Bukura,Nyambori,Senta,1,0,1,0,0
RCT0518,Rorya,Discretion,3,Bukura,Nyambori,Senta,1,0,1,0,0
RCT0517,Rorya,Discretion,3,Bukura,Nyambori,Senta,1,1,1,1,1
RCT0516,Rorya,Discretion,3,Bukura,Nyambori,Senta,1,1,1,1,1
RCT0515,Rorya,Discretion,3,Bukura,Nyambori,Senta,1,1,1,1,1
RCT0513,Rorya,Discretion,3,Bukura,Nyambori,Senta,1,0,1,0,0
RCT0512,Rorya,Discretion,3,Bukura,Nyambori,Senta,1,1,1,1,1
RCT0510,Rorya,Discretion,3,Bukura,Nyambori,Vunja Amri,1,1,1,1,1
RCT1084,Rorya,Discretion,3,Bukura,Bubombi,Anyuongi,1,1,1,1,1
RCT1079,Rorya,Discretion,3,Bukura,Bubombi,Anyuongi,1,0,1,0,0
RCT1078,Rorya,Discretion,3,Bukura,Bubombi,Anyuongi,1,1,1,0,0
RCT1077,Rorya,Discretion,3,Bukura,Bubombi,Anyuongi,1,1,1,1,0
RCT1075,Rorya,Discretion,3,Bukura,Bubombi,Shuleni,1,1,1,1,1
RCT1073,Rorya,Discretion,3,Bukura,Bubombi,Shuleni,1,1,1,1,1
RCT1071,Rorya,Discretion,3,Bukura,Bubombi,Shuleni,1,1,1,1,1
RCT1070,Rorya,Discretion,3,Bukura,Bubombi,Shuleni,1,1,1,1,0
RCT1065,Rorya,Discretion,3,Bukura,Bubombi,Mtakuja,1,1,1,1,1
RCT1060,Rorya,Discretion,3,Bukura,Bubombi,Mtakuja,1,1,1,1,1
RCT1058,Rorya,Discretion,3,Bukura,Bubombi,Mtakuja,1,0,1,0,0
RCT1057,Rorya,Discretion,3,Bukura,Bubombi,Mtakuja,1,1,1,1,1
RCT1095,Rorya,Sub-village,2,Mkoma,Ngasaro,Parokia,1,1,1,1,1
RCT1092,Rorya,Sub-village,2,Mkoma,Ngasaro,Parokia,1,1,1,1,1
RCT1091,Rorya,Sub-village,2,Mkoma,Ngasaro,Parokia,1,1,1,1,1
RCT1089,Rorya,Sub-village,2,Mkoma,Ngasaro,Parokia,1,0,1,0,0
RCT1088,Rorya,Sub-village,2,Mkoma,Ngasaro,Parokia,1,1,1,1,1
RCT1086,Rorya,Sub-village,2,Mkoma,Ngasaro,Parokia,1,1,1,1,1
RCT1104,Rorya,Sub-village,2,Mkoma,Ngasaro,Lamboni,1,0,1,0,0
RCT1103,Rorya,Sub-village,2,Mkoma,Ngasaro,Lamboni,1,1,1,1,1
RCT1101,Rorya,Sub-village,2,Mkoma,Ngasaro,Lamboni,1,0,1,0,0
RCT1100,Rorya,Sub-village,2,Mkoma,Ngasaro,Lamboni,1,1,1,1,1
RCT1097,Rorya,Sub-village,2,Mkoma,Ngasaro,Lamboni,1,1,1,1,1
9,Rorya,Discretion,3,Bukura,Bwiri,Bwiri A,1,1,0,0,1
8,Rorya,Discretion,3,Bukura,Bwiri,Bwiri A,1,0,1,0,0
7,Rorya,Discretion,3,Bukura,Bwiri,Bwiri A,1,0,1,0,0
5,Rorya,Discretion,3,Bukura,Bwiri,Bwiri A,1,0,1,0,0
1,Rorya,Discretion,3,Bukura,Bwiri,Bwiri A,1,0,1,0,0
RCT1113,Rorya,Sub-village,2,Mkoma,Ngasaro,Rodi,1,1,1,1,1
RCT1112,Rorya,Sub-village,2,Mkoma,Ngasaro,Rodi,1,1,1,1,1
28,Rorya,Discretion,3,Bukura,Bwiri,Nyangwe,1,0,1,0,0
26,Rorya,Discretion,3,Bukura,Bwiri,Nyangwe,1,1,1,0,1
23,Rorya,Discretion,3,Bukura,Bwiri,Nyangwe,1,0,1,0,0
RCT1125,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,1,1,1,1
RCT1123,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,1,1,1,1
