Strategy,campaign_type,dog_total,count,code,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,vacc_dog_no_chip_number,,dogs_no_vacc,vacc_card_status
0,pulse,3,3,microchip,NA,NA,NA,NA,,0,yes_card
2,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
0,pulse,2,1,microchip,NA,NA,NA,NA,,1,yes_card
0,pulse,2,2,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,5,2,microchip,NA,NA,NA,NA,,3,yes_card
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,2,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,5,0,microchip,NA,NA,NA,NA,,5,NA
0,pulse,3,3,microchip,NA,NA,NA,NA,,3,NA
0,pulse,3,3,microchip,NA,NA,NA,NA,,3,yes_card
0,pulse,2,0,microchip,NA,NA,NA,NA,,1,yes_card
0,pulse,3,0,microchip,NA,NA,NA,NA,,3,NA
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,2,0,microchip,NA,NA,NA,NA,,2,NA
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
0,pulse,3,3,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,2,2,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
0,pulse,2,0,microchip,NA,NA,NA,NA,,2,NA
0,pulse,3,2,microchip,NA,NA,NA,NA,,1,yes_card
0,pulse,2,0,microchip,NA,NA,NA,NA,,2,NA
0,pulse,7,0,microchip,NA,NA,NA,NA,,7,NA
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
0,pulse,3,3,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,0,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
3,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,2,0,microchip,NA,NA,NA,NA,,2,NA
3,continuous,3,3,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,2,1,microchip,NA,NA,NA,NA,,1,yes_card
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
3,continuous,3,0,microchip,NA,NA,NA,NA,,4,NA
0,pulse,2,0,microchip,NA,NA,NA,NA,,2,NA
3,continuous,3,3,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
3,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,3,0,microchip,NA,NA,NA,NA,,3,NA
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
3,continuous,3,3,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,0,microchip,NA,NA,NA,NA,,1,NA
3,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,4,4,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,6,0,microchip,NA,NA,NA,NA,,6,NA
3,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
3,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,2,2,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,2,2,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,3,2,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,2,0,microchip,NA,NA,NA,NA,,2,NA
3,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
3,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
0,pulse,1,1,microchip,NA,NA,NA,NA,,0,yes_card
3,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
