"","Strategy1","Strategy","Strategy1.1","Location","proportion","response","N","PointEst","Lower","Upper"
"X","Pulse","CPV",0,"Very easy",3.88,8,206,3.88349514563107,1.98073695673971,7.47471523664611
"X.1","Cont1","VLC",1,"Very easy",18.64,55,294,18.7074829931973,14.663906641906,23.5582600341003
"X.2","Cont2","SVLC",2,"Very easy",21.11,72,339,21.2389380530973,17.2198626450038,25.902535483052
"X.3","Cont3","DC",3,"Very easy",10.08,25,245,10.2040816326531,7.00759261038,14.6292596552589
"X.4","Pulse","CPV",0,"Easy",76.7,158,206,76.6990291262136,70.4695724997565,81.9509551777569
"X.5","Cont1","VLC",1,"Easy",67.8,200,294,68.0272108843537,62.493123781847,73.0962801982798
"X.6","Cont2","SVLC",2,"Easy",76.83,262,339,77.2861356932153,72.5348333166061,81.425968459341
"X.7","Cont3","DC",3,"Easy",86.29,214,245,87.3469387755102,82.5998031979575,90.9409969835199
"X.8","Pulse","CPV",0,"Difficult",18.45,38,206,18.4466019417476,13.7446863627393,24.303780927472
"X.9","Cont1","VLC",1,"Difficult",13.22,39,294,13.265306122449,9.85785535406762,17.6203403090701
"X.10","Cont2","SVLC",2,"Difficult",1.47,5,339,1.47492625368732,0.631602532721604,3.4056743089725
"X.11","Cont3","DC",3,"Difficult",2.42,6,245,2.44897959183673,1.12711346361406,5.23897155122621
"X.12","Pulse","CPV",0,"Very difficult",0.97,2,206,0.970873786407767,0.266653647409699,3.47019552661101
"X.13","Cont1","VLC",1,"Very difficult",0,0,294,0,0,1.2897663192708
"X.14","Cont2","SVLC",2,"Very difficult",0,0,339,0,0,1.12047674569697
"X.15","Cont3","DC",3,"Very difficult",0,0,245,0,0,1.5437374619565
